Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),CA,C1,C2,CM,P1,P2,BA,BV,t,P,CO/H2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
0,C=CC1=CC=CC=C1,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.090394719,0.251929546,0.228017623,100.2377611,0.564235464,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.556302501
1,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.054882744,0.233855172,0.226520335,99.57717172,0.625017471,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.556302501
2,C=CC1=CC=CC=C1,Rh,COC1=CC=C([C@@H](C)N(CCN([C@H](C)C2=CC=C(OC)C=C2)P->%16(C2=CC=CC=C2)C2=CC=CC=C2)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],COC1=CC=C([C@@H](C)N(CCN([C@H](C)C2=CC=C(OC)C=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1,313.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.09158666,0.24743099,0.226981675,101.6805651,0.591350634,313.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.380211242
3,C=CC1=CC=CC=C1,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.092299627,0.24597146,0.230595277,103.5462344,0.586639256,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.857332496
4,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.022985413,0.238809411,0.231077099,99.0582208,0.701686545,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.06069784
5,C=CC1=CC=CC=C1,Rh,C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.07899949,0.244430938,0.238291348,99.77815355,0.567281262,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.62324929
6,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,85.3619317,-0.086168799,0.038186577,-0.065891623,0.235053247,0.229600985,100.0778485,0.619217061,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.662757832
7,C=COC(C)=O,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.090394719,0.251929546,0.228017623,100.2377611,0.564235464,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.505149978
8,C=COC(C)=O,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.054882744,0.233855172,0.226520335,99.57717172,0.625017471,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.556302501
9,C=COC(C)=O,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.092299627,0.24597146,0.230595277,103.5462344,0.586639256,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.698970004
