index,ca,c1,c2,m,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
0,85.3619317,-0.086168799,0.038186577,-0.090394719,0.251929546,0.228017623,100.2377611,0.564235464,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.556302501
1,85.3619317,-0.086168799,0.038186577,-0.054882744,0.233855172,0.226520335,99.57717172,0.625017471,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.556302501
2,85.3619317,-0.086168799,0.038186577,-0.09158666,0.24743099,0.226981675,101.6805651,0.591350634,313.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.380211242
3,85.3619317,-0.086168799,0.038186577,-0.092299627,0.24597146,0.230595277,103.5462344,0.586639256,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.857332496
4,85.3619317,-0.086168799,0.038186577,-0.022985413,0.238809411,0.231077099,99.0582208,0.701686545,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.06069784
5,85.3619317,-0.086168799,0.038186577,-0.07899949,0.244430938,0.238291348,99.77815355,0.567281262,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.62324929
6,85.3619317,-0.086168799,0.038186577,-0.065891623,0.235053247,0.229600985,100.0778485,0.619217061,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.662757832
7,89.62573535,-0.105519562,0.033941616,-0.090394719,0.251929546,0.228017623,100.2377611,0.564235464,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.505149978
8,89.62573535,-0.105519562,0.033941616,-0.054882744,0.233855172,0.226520335,99.57717172,0.625017471,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.556302501
9,89.62573535,-0.105519562,0.033941616,-0.092299627,0.24597146,0.230595277,103.5462344,0.586639256,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.698970004
10,89.62573535,-0.105519562,0.033941616,-0.022985413,0.238809411,0.231077099,99.0582208,0.701686545,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.230448921
11,89.62573535,-0.105519562,0.033941616,-0.022985413,0.238809411,0.231077099,99.0582208,0.701686545,313.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.301029996
12,89.62573535,-0.105519562,0.033941616,-0.07899949,0.244430938,0.238291348,99.77815355,0.567281262,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.62324929
13,89.62573535,-0.105519562,0.033941616,-0.065891623,0.235053247,0.229600985,100.0778485,0.619217061,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.380211242
14,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
15,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
16,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,10,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.255272505
17,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.278753601
18,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,30,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.380211242
19,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,40,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.397940009
20,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,10,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.255272505
21,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
22,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,30,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
23,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,40,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
24,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,1,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.301029996
25,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,1,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.903089987
26,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.301029996
27,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,24,3,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
28,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
29,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,106.17,3.1,0,0.876,121.2,1.505,0.45,-25,146,0.477121255
30,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,100.2,4.4,0,0.684,146.6,1.388,0,-90,98,0.327358934
31,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,134.18,-0.4,27.7,0.94,142.7,1.408,1.92,-64,162,0.477121255
32,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.477121255
33,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.454258372
34,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.410174465
35,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
36,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,393.15,40,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.388860351
37,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,40,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
38,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,353.15,40,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
39,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,50,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
40,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
41,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,10,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
42,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.477121255
43,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,3,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
44,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,20,1,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.410174465
45,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,20,4,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
46,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,20,3,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
47,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
48,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,20,3,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
49,86.52014523,-0.097025505,-0.034436355,-0.243162389,0.260847406,0.257376606,157.7865373,0.745154678,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.788370416
50,86.52014523,-0.097025505,-0.034436355,-0.198147525,0.440584867,0.43705407,165.6002666,0.759527581,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.388860351
51,86.52014523,-0.097025505,-0.034436355,-0.263466215,0.258436157,0.235568343,92.27837133,0.518490263,373.15,20,2,20,1,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
52,86.52014523,-0.097025505,-0.034436355,-0.220612764,0.243168949,0.229743322,104.8026628,0.730741008,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.410174465
53,86.52014523,-0.097025505,-0.034436355,-0.211701109,0.249061818,0.232618992,106.4832359,0.623811964,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.307560863
54,86.52014523,-0.097025505,-0.034436355,-0.102524011,0.270987065,0.246619606,93.26473737,0.745492452,373.15,20,2,20,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
55,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,373.15,20,2,20,2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
56,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,393.15,20,2,20,8,5000,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
57,86.52014523,-0.097025505,-0.034436355,-0.088892107,0.216977542,0.19821834,98.7841822,0.554626351,393.15,20,2,3,8,5000,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.176091259
58,85.3619317,-0.086168799,0.038186577,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,24,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,-0.454258372
59,114.6127322,-0.097643385,-0.038087317,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.490086232
60,155.2485191,-0.095458057,-0.03076482,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.490086232
61,120.5867391,-0.096953349,-0.034509283,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.720159303
62,88.31030369,-0.099732732,-0.034628964,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.575407797
63,89.90004789,-0.098954967,-0.033904554,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.477121255
64,120.1624923,-0.098854403,-0.033395216,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,403.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,1.380211242
65,120.1624923,-0.098854403,-0.033395216,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,1.50965048
66,87.33580996,-0.098602735,-0.035664008,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,20,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.477121255
67,86.52014523,-0.097025505,-0.034436355,-0.251065951,0.256459724,0.235553139,97.76892976,0.551895034,298.15,20,2,16,2.2,500,3.4,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.500602351
68,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,10,1,16,2,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.104735351
69,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
70,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,10,1,16,6,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.087150176
71,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,5,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.194265228
72,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,20,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.017374096
73,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,393.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0
74,86.52014523,-0.097025505,-0.034436355,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,353.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.753327667
75,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,10,1,16,2,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.104735351
76,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.052178012
77,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,10,1,16,6,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.017374096
78,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,5,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.034762106
79,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,20,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.069635928
80,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,393.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.212608093
81,86.52014523,-0.097025505,-0.034436355,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,353.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.367976785
82,85.3619317,-0.086168799,0.038186577,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.288065018
83,85.3619317,-0.086168799,0.038186577,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.477121255
84,119.7677282,-0.097728034,-0.034233235,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
85,119.7677282,-0.097728034,-0.034233235,-0.086972441,0.279093703,0.260924717,97.27715384,0.549786852,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.017374096
86,89.64786461,-0.066115693,-0.003654671,-0.087877698,0.275744895,0.259728659,102.4254217,0.558178811,373.15,10,1,16,4,100,7.750916546,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.629731418
