Entry,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,kb,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,C=CC1=CC=CC=C1,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.556302501,46.3125,,0.361271197,0.277777778,ligand,Ligand-M
1,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.556302501,53.625,,0.361271197,0.277777778,333-349,960
2,C=CC1=CC=CC=C1,Rh,COC1=CC=C([C@@H](C)N(CCN([C@H](C)C2=CC=C(OC)C=C2)P->%16(C2=CC=CC=C2)C2=CC=CC=C2)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],COC1=CC=C([C@@H](C)N(CCN([C@H](C)C2=CC=C(OC)C=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=C1,CC1=CC=CC=C1,313.15,20,1,16,2,1300,0.46,-0.380211242,16.25,,0.405184229,0.416666667,288-292,962
3,C=CC1=CC=CC=C1,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.857332496,17.875,,0.286201372,0.138888889,294-295,931-935
4,C=CC1=CC=CC=C1,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-1.06069784,27.625,,0.235486823,0.086956522,249-250,727
5,C=CC1=CC=CC=C1,Rh,C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.62324929,74.75,,0.344576237,0.238095238,,717
6,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,CC1=CC=CC=C1,333.15,20,1,16,2,1300,0.46,-0.662757832,49.5625,,0.334723733,0.217391304,,719
7,C=COC(C)=O,Rh,C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](C1=CC=CC=C1)N(CCN([C@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.505149978,46.66666667,,0.374027437,0.3125,,720
8,C=COC(C)=O,Rh,C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=CC=CC=C1)N(CCN([C@@H](C)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.556302501,51.33333333,,0.361271197,0.277777778,,700
9,C=COC(C)=O,Rh,CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC[C@H](C1=CC=CC=C1)N(CCN([C@H](CC)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-1.698970004,47.33333333,,0.076316707,0.02,,703
10,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-1.230448921,54.66666667,,0.193154882,0.058823529,,705
11,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,313.15,20,1,21,2,1400,0.54,-1.301029996,43.33333333,,0.175553617,0.05,,708-709
12,C=COC(C)=O,Rh,C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,-0.62324929,45.33333333,,0.344576237,0.238095238,,693-696
