iter	RMSE
0	1.072856865
1	1.015536031
2	0.9653673893
3	0.9228311688
4	0.8752034693
5	0.8362615145
6	0.8118633069
7	0.7769594857
8	0.7467881496
9	0.7211354503
10	0.6944207929
11	0.6740999932
12	0.6544084134
13	0.6379064272
14	0.6260176872
15	0.611480082
16	0.6002021922
17	0.5913939533
18	0.5798261316
19	0.5676672234
20	0.559729696
21	0.5488604362
22	0.538604935
23	0.5304375161
24	0.5223240989
25	0.5142188165
26	0.5095794585
27	0.5046488265
28	0.5007062294
29	0.4970232008
30	0.4935132371
31	0.4891004314
32	0.48357263
33	0.4791844864
34	0.4758491463
35	0.4698962069
36	0.4654094182
37	0.4613893993
38	0.4570403706
39	0.4539886344
40	0.4518306617
41	0.4468172243
42	0.4435970061
43	0.4401428335
44	0.4369321713
45	0.4322674663
46	0.4297630152
47	0.4247018217
48	0.420708055
49	0.4164349076
50	0.4124757115
51	0.4106425336
52	0.4080145611
53	0.4053530923
54	0.4038788898
55	0.402045813
56	0.3997176371
57	0.3956572649
58	0.3928349334
59	0.3903061132
60	0.3889293147
61	0.3862995516
62	0.3848988745
63	0.3824566752
64	0.3811476073
65	0.3791593622
66	0.3781907198
67	0.3755940953
68	0.3742299878
69	0.3713369642
70	0.3693873226
71	0.3674214237
72	0.3656950976
73	0.3636747579
74	0.3625909008
75	0.3606831554
76	0.3585298327
77	0.3567299942
78	0.3547468625
79	0.3531347521
80	0.3510625799
81	0.3492926233
82	0.3479568084
83	0.3466778705
84	0.3449080508
85	0.3432823508
86	0.341242383
87	0.3401878672
88	0.3389345121
89	0.3365197696
90	0.3351630437
91	0.333511521
92	0.3319525
93	0.330559615
94	0.3280474298
95	0.3261735133
96	0.3256585798
97	0.325284378
98	0.3238150836
99	0.3227060424
100	0.320987612
101	0.3193562991
102	0.3182840203
103	0.3170648207
104	0.3155050404
105	0.3143315148
106	0.3120240597
107	0.3107841777
108	0.3097566981
109	0.3083991324
110	0.3070314783
111	0.3063723808
112	0.3054042126
113	0.3034551288
114	0.301675567
115	0.2996420964
116	0.2981792859
117	0.2964116556
118	0.295431626
119	0.2942804888
120	0.2930705717
121	0.2921413571
122	0.2918531232
123	0.2906783031
124	0.288462232
125	0.2871390895
126	0.2856902057
127	0.2847361544
128	0.2837641362
129	0.2823476408
130	0.2808553814
131	0.2796955357
132	0.2779052522
133	0.2767161591
134	0.2757546122
135	0.2746593263
136	0.2730076061
137	0.2721598592
138	0.2707224136
139	0.2699947102
140	0.2691219303
141	0.2672763202
142	0.2662704217
143	0.265376336
144	0.2642938926
145	0.2633872632
146	0.26246516
147	0.2612968139
148	0.2605512672
149	0.2599532238
150	0.2585649164
151	0.2578130826
152	0.2558058788
153	0.2552006633
154	0.2545423982
155	0.2533029863
156	0.2527147209
157	0.2519167786
158	0.2511222875
159	0.2502522486
160	0.2495024956
161	0.2485408124
162	0.2480838346
163	0.2479509281
164	0.2472530913
165	0.246428511
166	0.2458667627
167	0.2449476816
168	0.2439864155
169	0.243636715
170	0.2415156657
171	0.240525785
172	0.239766904
173	0.239134393
174	0.2375913029
175	0.2362202444
176	0.2355482392
177	0.235279198
178	0.2344240817
179	0.2337962429
180	0.2336712953
181	0.2325741551
182	0.232078998
183	0.2315801337
184	0.2308283427
185	0.2302267472
186	0.2284742536
187	0.2273720661
188	0.227123553
189	0.226322803
190	0.225576987
191	0.2250285182
192	0.2241471112
193	0.2232529468
194	0.2225204337
195	0.2219506713
196	0.2214398003
197	0.220595838
198	0.2195098847
199	0.2194055467
