iter	Passed	Remaining
0	1	202
1	1	188
2	2	180
3	3	177
4	4	175
5	5	173
6	6	170
7	7	169
8	7	167
9	8	168
10	9	168
11	10	166
12	11	166
13	12	164
14	13	163
15	14	162
16	15	161
17	15	161
18	16	160
19	17	158
20	18	157
21	19	156
22	20	156
23	21	155
24	22	154
25	22	153
26	23	152
27	24	151
28	25	150
29	26	149
30	27	148
31	28	147
32	28	145
33	30	149
34	31	148
35	32	147
36	33	146
37	34	145
38	34	144
39	35	143
40	36	142
41	37	141
42	38	140
43	39	139
44	40	138
45	41	137
46	42	136
47	43	136
48	43	135
49	44	134
50	45	133
51	46	132
52	47	131
53	48	130
54	49	129
55	49	128
56	50	127
57	51	126
58	52	125
59	53	124
60	54	123
61	55	122
62	55	121
63	56	120
64	57	119
65	58	118
66	59	117
67	60	116
68	61	115
69	61	114
70	62	113
71	63	113
72	64	112
73	65	111
74	66	110
75	66	109
76	67	108
77	68	107
78	69	106
79	70	105
80	71	104
81	72	103
82	73	102
83	73	102
84	74	101
85	75	100
86	76	99
87	77	98
88	78	97
89	79	96
90	79	95
91	80	94
92	81	94
93	82	93
94	83	92
95	84	91
96	85	90
97	86	89
98	87	88
99	87	87
100	88	86
101	89	86
102	90	85
103	91	84
104	92	83
105	92	82
106	93	81
107	94	80
108	95	79
109	96	79
110	97	78
111	98	77
112	99	76
113	100	75
114	101	74
115	102	73
116	102	72
117	103	72
118	104	71
119	105	70
120	106	69
121	107	68
122	107	67
123	108	66
124	109	65
125	110	64
126	111	64
127	112	63
128	113	62
129	114	61
130	114	60
131	115	59
132	116	58
133	117	57
134	118	56
135	119	56
136	119	55
137	120	54
138	121	53
139	122	52
140	123	51
141	124	50
142	125	49
143	125	48
144	126	48
145	127	47
146	128	46
147	129	45
148	130	44
149	131	43
150	132	42
151	132	41
152	133	41
153	134	40
154	135	39
155	136	38
156	137	37
157	138	36
158	138	35
159	139	34
160	140	34
161	141	33
162	142	32
163	142	31
164	143	30
165	144	29
166	145	28
167	146	27
168	147	26
169	147	26
170	148	25
171	149	24
172	150	23
173	151	22
174	152	21
175	153	20
176	154	20
177	154	19
178	155	18
179	156	17
180	157	16
181	158	15
182	158	14
183	159	13
184	160	13
185	161	12
186	162	11
187	163	10
188	164	9
189	164	8
190	165	7
191	166	6
192	167	6
193	168	5
194	169	4
195	170	3
196	170	2
197	171	1
198	172	0
199	173	0
