index,ca,c1,c2,m,f+,f-,f0,fdd,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
0,85.40462423,-0.0257166,-0.08442146,-0.43307885,0.138,0.004,0.071,0.134,0.04665049,0.01189813,100.2377611,0.564235464,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.556302501
1,85.40462423,-0.0257166,-0.08442146,-0.43719674,0.136,-0.006,0.065,0.142,0.04026722,0.01477524,99.57717172,0.625017471,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.556302501
2,85.40462423,-0.0257166,-0.08442146,-0.44753227,0.123,-0.004,0.059,0.127,0.05405318,0.03598445,101.6805651,0.591350634,313.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.380211242
3,85.40462423,-0.0257166,-0.08442146,-0.44194507,0.149,-0.001,0.074,0.15,0.04267212,0.0159118,103.5462344,0.586639256,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.857332496
4,85.40462423,-0.0257166,-0.08442146,-0.45339349,0.121,-0.005,0.058,0.126,0.04914836,0.02053675,99.0582208,0.701686545,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.06069784
5,85.40462423,-0.0257166,-0.08442146,-0.42320798,0.131,0.003,0.067,0.128,0.04792021,0.00213493,99.77815355,0.567281262,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.62324929
6,85.40462423,-0.0257166,-0.08442146,-0.43701191,0.133,-0.005,0.064,0.138,0.03825628,0.01420733,100.0778485,0.619217061,333.15,20,1,16,2,1300,0.46,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.662757832
7,88.15370142,0.11024985,-0.09339,-0.43307885,0.138,0.004,0.071,0.134,0.04665049,0.01189813,100.2377611,0.564235464,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.505149978
8,88.15370142,0.11024985,-0.09339,-0.43719674,0.136,-0.006,0.065,0.142,0.04026722,0.01477524,99.57717172,0.625017471,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.556302501
9,88.15370142,0.11024985,-0.09339,-0.44194507,0.149,-0.001,0.074,0.15,0.04267212,0.0159118,103.5462344,0.586639256,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.698970004
10,88.15370142,0.11024985,-0.09339,-0.45339349,0.121,-0.005,0.058,0.126,0.04914836,0.02053675,99.0582208,0.701686545,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.230448921
11,88.15370142,0.11024985,-0.09339,-0.45339349,0.121,-0.005,0.058,0.126,0.04914836,0.02053675,99.0582208,0.701686545,313.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.301029996
12,88.15370142,0.11024985,-0.09339,-0.42320798,0.131,0.003,0.067,0.128,0.04792021,0.00213493,99.77815355,0.567281262,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.62324929
13,88.15370142,0.11024985,-0.09339,-0.43701191,0.133,-0.005,0.064,0.138,0.03825628,0.01420733,100.0778485,0.619217061,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.380211242
14,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
15,85.40462423,-0.0257166,-0.08442146,-0.40963358,0.142,-0.002,0.07,0.144,0.3438209,0.03657695,85.9453678,0.441745481,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
16,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,10,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.255272505
17,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.278753601
18,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,30,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.380211242
19,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,40,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.397940009
20,85.40462423,-0.0257166,-0.08442146,-0.40963358,0.142,-0.002,0.07,0.144,0.3438209,0.03657695,85.9453678,0.441745481,333.15,10,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.255272505
21,85.40462423,-0.0257166,-0.08442146,-0.40963358,0.142,-0.002,0.07,0.144,0.3438209,0.03657695,85.9453678,0.441745481,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
22,85.40462423,-0.0257166,-0.08442146,-0.40963358,0.142,-0.002,0.07,0.144,0.3438209,0.03657695,85.9453678,0.441745481,333.15,30,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
